Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District
05/23/2020 05:35:00 PM,024XX W DIVISION ST,Нападение,SIMPLE,УЛИЦА,false,true,14
10/07/2020 10:57:00 PM,032XX W WABANSIA AVE,ДРУГОЕ НАРУШЕНИЕ,TELEPHONE THREAT,РЕЗИДЕНЦИЯ,false,false,14
10/08/2020 11:05:00 PM,018XX N KIMBALL AVE,Кража,OVER $500,ALLEY,false,false,14
12/11/2020 06:00:00 AM,0000X W 26TH ST,Кража,TO VEHICLE,Гараж,false,false,1
09/22/2020 04:26:00 PM,050XX S BLACKSTONE AVE,Нападение,TO STATE SUP LAND,, PUBLIC, GROUNDS,true,false,2,
10/04/2020 09:00:00 AM,017XX E 72ND ST,УГОН АВТОМОБИЛЯ,FINANCIAL IDENTITY THEFT OVER $ 300,РЕЗИДЕНЦИЯ,false,false,3,
06/21/2020 10:00:00 PM,008XX W HURON ST,Кража,TO VEHICLE,УЛИЦА,false,false,12,
09/20/2020 09:18:00 PM,083XX S STEWART AVE,Кража,RETAIL THEFT,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,6,
08/04/2020 04:20:00 PM,063XX N OAKLEY AVE,Драка,SIMPLE,Квартира,false,false,24,
12/27/2020 05:00:00 PM,119XX S INDIANA AVE,УГОН АВТОМОБИЛЯ,FINANCIAL IDENTITY THEFT OVER $ 300,РЕЗИДЕНЦИЯ,false,false,5,
10/31/2020 08:30:00 AM,022XX N CLEVELAND AVE,Кража со взломом,FORCIBLE ENTRY,Квартира,false,false,18,
01/28/2021 12:12:00 AM,040XX W JACKSON BLVD,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,11,
02/23/2020 07:45:00 AM,062XX N WASHTENAW AVE,Нападение,SIMPLE,Тротуар,false,false,24,
06/27/2020 11:45:00 AM,036XX S LAKE PARK AVE,Кража,$500 AND UNDER,Гараж,false,false,2,
11/03/2020 06:30:00 PM,014XX E 69TH ST,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,3,
02/09/2021 09:00:00 AM,052XX S ROCKWELL ST,Кража,OVER $500,УЛИЦА,false,false,9,
02/23/2020 06:20:00 PM,010XX E 73RD ST,ПРАВОНАРУШЕНИЕ В ОТНОШЕНИИ ДЕТЕЙ,CHILD ABUSE,РЕЗИДЕНЦИЯ,true,true,3,
01/21/2020 10:21:00 PM,086XX S MAY ST,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,true,true,6,
11/13/2020 10:32:00 PM,015XX W JACKSON BLVD,ДРУГОЕ НАРУШЕНИЕ,VIOLATE ORDER OF PROTECTION,Квартира,false,false,12,
06/02/2020 05:54:00 PM,027XX W MAYPOLE AVE,Нападение,SIMPLE,Тротуар,false,true,12,
01/04/2021 07:26:00 AM,083XX S ELLIS AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,6,
05/14/2020 05:18:00 PM,062XX S KEDZIE AVE,Нападение,AGGRAVATED: Другое DANG WEAPON,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,8,
11/02/2020 03:30:00 PM,071XX S CHAMPLAIN AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,3,
11/15/2020 11:00:00 AM,033XX W FULTON BLVD,Кража,FROM BUILDING,Квартира,false,true,11,
01/07/2020 02:17:00 PM,072XX S EXCHANGE AVE,Кража,RETAIL THEFT,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,3,
11/21/2020 09:00:00 AM,082XX S ELLIS AVE,Нападение,AGGRAVATED: HANDGUN,Квартира,false,false,6,
03/26/2020 08:30:00 AM,018XX N LONG AVE,Нападение,TO РЕЗИДЕНЦИЯ,РЕЗИДЕНЦИЯ PORCH/HALLWAY,false,true,25,
08/09/2020 10:30:00 AM,003XX W GRAND AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,Гараж,false,false,18,
12/19/2020 03:45:00 AM,061XX S PRAIRIE AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,true,true,3,
06/24/2020 11:10:00 AM,052XX W FERDINAND ST,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,15,
01/20/2020 09:15:00 PM,002XX S LOTUS AVE,ДРУГОЕ НАРУШЕНИЕ,LICENSE VIOLATION,CONVENIENCE STORE,false,false,15,
05/17/2020 10:35:00 AM,103XX S ELIZABETH ST,Драка,PRO EMP HANDS NO/MIN INJURY,SCHOOL, PUBLIC, СТРОЙКА,true,false,22
06/01/2020 09:00:00 AM,0000X W 40TH PL,УГОН АВТОМОБИЛЯ,FINANCIAL IDENTITY THEFT OVER $ 300,,false,false,2
07/02/2020 03:34:00 AM,007XX N CALIFORNIA AVE,ДРУГОЕ НАРУШЕНИЕ,LICENSE VIOLATION,Другое,false,false,12
02/15/2020 02:54:00 AM,028XX W PERSHING RD,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,9
07/26/2020 06:00:00 PM,043XX N NARRAGANSETT AVE,Кража,TO VEHICLE,Гараж,false,false,16
06/10/2020 09:00:00 PM,001XX S ABERDEEN ST,Кража,$500 AND UNDER,УЛИЦА,false,false,12
02/07/2020 12:00:00 PM,051XX S INDIANA AVE,ДРУГОЕ НАРУШЕНИЕ,TELEPHONE THREAT,УЛИЦА,false,false,2
04/28/2020 09:55:00 AM,083XX S SANGAMON ST,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,6
06/14/2020 04:10:00 PM,013XX N ASHLAND AVE,Кража,RETAIL THEFT,БИЗНЕС-ОФИС,false,false,14
08/06/2020 07:00:00 AM,067XX N EDGEBROOK TER,Кража,$500 AND UNDER,УЛИЦА,false,false,16
11/15/2020 07:00:00 PM,039XX N KIMBALL AVE,Кража,OVER $500,АВТОМОБИЛЬ НЕКОММЕРЧЕСКИЙ,false,false,17
10/09/2020 09:00:00 PM,020XX N KEDZIE AVE,Кража,OVER $500,ALLEY,false,false,14
05/25/2020 01:00:00 PM,0000X S LA SALLE ST,Кража,$500 AND UNDER,Тротуар,false,false,1
05/19/2020 08:30:00 AM,017XX W PRYOR AVE,Кража,OVER $500,, PUBLIC, СТРОЙКА,false,false,22,
05/30/2020 10:50:00 PM,019XX S SAWYER AVE,НАРКОТИКИ,POSS: HEROIN(WHITE),УЛИЦА,true,false,10,
04/02/2020 11:29:00 PM,052XX W MONTANA ST,НАРКОТИКИ,MANU/DELIVER: HEROIN (WHITE),Квартира,true,false,25,
10/24/2020 02:00:00 PM,083XX S HOLLAND RD,Кража,OVER $500,ATHLETIC CLUB,false,false,6,
02/08/2020 12:10:00 AM,002XX W WACKER DR,Кража,OVER $500,УЛИЦА,false,true,1,
08/22/2020 12:00:00 PM,004XX W BELDEN AVE,Кража,$500 AND UNDER,ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),false,false,18,
02/18/2021 05:22:00 AM,014XX W MADISON ST,НАРУШЕНИЕ ОБЩЕСТВЕННОГО ПОРЯДКА,BOMB THREAT,Другое,false,false,12,
06/09/2020 10:00:00 AM,079XX S SOUTH SHORE DR,ДРУГОЕ НАРУШЕНИЕ,TELEPHONE THREAT,Квартира,false,false,4,
08/03/2020 09:35:00 PM,059XX N TALMAN AVE,ДРУГОЕ НАРУШЕНИЕ,TELEPHONE THREAT,Квартира,false,true,20,
06/27/2020 08:30:00 PM,034XX N OSCEOLA AVE,Кража,FROM BUILDING,РЕЗИДЕНЦИЯ,false,false,16,
10/29/2020 09:00:00 AM,019XX W GARFIELD BLVD,Кража,TO PROPERTY,Квартира,false,false,9,
02/27/2021 12:15:00 PM,077XX S PHILLIPS AVE,УГОН АВТОМОБИЛЯ,CREDIT CARD FRAUD,РЕЗИДЕНЦИЯ,false,false,4,
03/23/2020 03:30:00 PM,100XX S VAN VLISSINGEN RD,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,4,
02/13/2021 06:30:00 AM,079XX S COTTAGE GROVE AVE,Ограбление,STRONGARM - NO WEAPON,Тротуар,false,false,6,
06/28/2020 11:30:00 AM,001XX S KENTON AVE,PROSTITUTION,SOLICIT ON PUBLIC WAY,УЛИЦА,true,false,11,
09/02/2020 09:00:00 PM,056XX W ADDISON ST,Износилование,NON-AGGRAVATED,ЗДАНИЕ БОЛЬНИЦЫ,false,false,16,
02/02/2021 06:00:00 PM,012XX S KOSTNER AVE,УГОН АВТОМОБИЛЯ,FINANCIAL IDENTITY THEFT OVER $ 300,Квартира,false,false,10,
10/14/2020 08:30:00 AM,031XX S LAKE SHORE DR NB,Кража,OVER $500,Гараж,false,false,2,
01/09/2020 06:14:00 AM,022XX W 47TH ST,Кража со взломом,FORCIBLE ENTRY,РЕЗИДЕНЦИЯ,false,false,9,
12/16/2020 12:00:00 AM,026XX N ELSTON AVE,Кража,RETAIL THEFT,УНИВЕРМАГ,true,false,14,
02/26/2020 12:00:00 PM,048XX N CHRISTIANA AVE,Ограбление,ATTEMPT: ARMED-Другое DANG WEAP,Тротуар,false,false,17,
05/24/2020 04:08:00 AM,037XX S WALLACE ST,Кража,TO PROPERTY,Квартира,true,false,9,
11/06/2020 03:25:00 AM,057XX S CARPENTER ST,ДРУГОЕ НАРУШЕНИЕ,VIOLATE ORDER OF PROTECTION,УЛИЦА,false,true,7,
01/17/2021 05:58:00 PM,021XX W NORTH AVE,Кража,OVER $500,УЛИЦА,false,false,14,
04/01/2020 10:54:00 AM,009XX W 84TH ST,Нападение,AGGRAVATED: HANDGUN,Квартира,true,false,6,
11/17/2020 10:15:00 PM,005XX W MADISON ST,Кража,FROM BUILDING,Другое RAILROAD PROP / TRAIN DEPOT,false,false,1,
04/11/2020 10:18:00 AM,025XX S SPAULDING AVE,НАРКОТИКИ,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,10,
04/02/2020 09:15:00 AM,031XX W ROOSEVELT RD,Нападение,SIMPLE,Другое,false,false,10,
02/28/2021 03:00:00 PM,079XX S PRAIRIE AVE,УГОН АВТОМОБИЛЯ,FRAUD OR CONFIDENCE GAME,РЕЗИДЕНЦИЯ,false,false,6,
08/16/2020 09:41:00 PM,009XX N CROSBY ST,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,18,
01/21/2020 08:24:00 PM,081XX S CLAREMONT AVE,Кража,TO VEHICLE,УЛИЦА,true,false,8,
05/11/2020 07:15:00 AM,027XX W DEVON AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,24,
07/16/2020 06:16:00 PM,015XX S HARDING AVE,Драка,DOMESTIC BATTERY SIMPLE,АВТОМОБИЛЬ НЕКОММЕРЧЕСКИЙ,false,true,10,
01/29/2020 06:00:00 PM,015XX S RIDGEWAY AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,false,10,
02/24/2021 07:32:00 PM,027XX N MARSHFIELD AVE,УГОН АВТОМОБИЛЯ,AGGRAVATED FINANCIAL IDENTITY THEFT,РЕЗИДЕНЦИЯ,false,false,19,
12/20/2020 03:00:00 AM,045XX N PAULINA ST,Кража,FROM BUILDING,Квартира,false,false,19,
06/03/2020 06:00:00 PM,029XX N MONITOR AVE,Кража,OVER $500,ALLEY,false,false,25,
01/18/2020 12:00:00 AM,010XX E 42ND PL,УГОН АВТОМОБИЛЯ,AUTOMOBILE,РЕЗИДЕНЦИЯ,false,false,2,
07/11/2020 06:05:00 PM,020XX W VAN BUREN ST,Нападение,TO STATE SUP LAND,CHA Квартира,true,false,12,
04/03/2020 05:40:00 PM,029XX W 87TH ST,Нападение,SIMPLE,NURSING HOME/RETIREMENT HOME,false,true,8,
12/27/2020 11:16:00 PM,012XX N WALLER AVE,Кража,$500 AND UNDER,УЛИЦА,false,false,25,
04/12/2020 01:00:00 AM,014XX W POLK ST,Ограбление,ARMED: HANDGUN,Тротуар,false,false,12,
04/07/2020 02:30:00 PM,018XX N SAYRE AVE,Нападение,SIMPLE,Тротуар,false,false,25,
07/23/2020 11:00:00 PM,100XX S CLAREMONT AVE,Кража,$500 AND UNDER,РЕЗИДЕНЦИЯ,false,false,22,
08/03/2020 04:50:00 AM,047XX S LAKE PARK AVE,Кража,TO PROPERTY,Другое,true,false,2,
02/17/2021 11:15:00 AM,069XX S VERNON AVE,Нападение,SIMPLE,Тротуар,false,false,3,
03/08/2020 10:00:00 PM,040XX W BELMONT AVE,НАРКОТИКИ,POSS: SYNTHETIC DRUGS,УЛИЦА,true,false,25,
03/28/2020 04:15:00 PM,034XX W FLOURNOY ST,НАРКОТИКИ,POSS: HEROIN(WHITE),ЖИЛОЙ ДВОР (ПЕРЕДНИЙ / ЗАДНИЙ),true,false,11,
06/28/2020 12:30:00 AM,044XX W MONROE ST,ДРУГОЕ НАРУШЕНИЕ,Другое VEHICLE OFFENSE,Квартира,false,false,11,
03/17/2020 06:50:00 PM,013XX S SAWYER AVE,Кража,TO VEHICLE,УЛИЦА,true,true,10,
03/30/2020 11:15:00 AM,010XX N CENTRAL AVE,Нападение,SIMPLE,УЛИЦА,false,true,15,
08/26/2020 02:00:00 PM,001XX W WASHINGTON ST,Кража,POCKET-PICKING,CTA TRAIN,false,false,1,
01/30/2020 02:05:00 PM,035XX W JACKSON BLVD,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,11,
07/06/2020 07:50:00 PM,047XX W AUGUSTA BLVD,НАРКОТИКИ,POSS: COCAINE,Квартира,true,false,11,
02/02/2020 06:00:00 PM,071XX S FRANCISCO AVE,Ограбление,ARMED: HANDGUN,ALLEY,false,false,8,
12/22/2020 02:00:00 AM,008XX W ADDISON ST,Кража,FROM BUILDING,ЦЕРКОВЬ / СИНАГОГА / МЕСТО ПОКЛОНЕНИЯ,false,false,19,
12/01/2020 03:50:00 AM,002XX S AUSTIN BLVD,Ограбление,ARMED: HANDGUN,Тротуар,false,false,15,
01/30/2021 04:00:00 PM,126XX S STATE ST,Кража,TO VEHICLE,Другое,false,false,5,
12/05/2020 12:30:00 AM,123XX S STATE ST,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,5,
09/20/2020 07:45:00 AM,012XX N PARKSIDE AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,25,
03/10/2020 12:15:00 PM,014XX E 66TH PL,Драка,DOMESTIC BATTERY SIMPLE,ALLEY,false,true,3,
06/28/2020 03:15:00 PM,002XX E 103RD ST,Кража,$500 AND UNDER,Гараж,false,false,5,
04/23/2020 11:00:00 AM,024XX W LEXINGTON ST,Драка,DOMESTIC BATTERY SIMPLE,УЛИЦА,false,false,11,
05/30/2020 12:15:00 PM,021XX S CHINA PL,Ограбление,STRONGARM - NO WEAPON,Тротуар,true,false,9,
04/16/2020 09:46:00 AM,106XX S PRAIRIE AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,5,
09/15/2020 06:30:00 PM,034XX S COTTAGE GROVE AVE,Кража,FROM BUILDING,Квартира,false,false,2,
09/18/2020 01:52:00 AM,103XX S HARPER AVE,Нападение,TO LAND,CTA GARAGE / Другое PROPERTY,true,false,4,
05/25/2020 09:00:00 PM,053XX N MILWAUKEE AVE,Кража,RETAIL THEFT,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,16,
05/25/2020 10:15:00 AM,072XX S SACRAMENTO AVE,Ограбление,VEHICULAR HIJACKING,ALLEY,true,false,8,
06/14/2020 07:00:00 PM,001XX W JACKSON BLVD,Кража,OVER $500,Тротуар,false,false,1,
09/21/2020 04:55:00 PM,008XX S WABASH AVE,Нападение,SIMPLE,УЛИЦА,false,false,1,
05/05/2020 01:30:00 PM,023XX N STOCKTON DR,Кража,OVER $500,Другое,false,false,18,
01/05/2020 07:50:00 PM,048XX N LINCOLN AVE,УГОН АВТОМОБИЛЯ,COUNTERFEITING DOCUMENT,РЕСТОРАН,false,false,20,
12/18/2020 09:00:00 AM,020XX N HOWE ST,Кража со взломом,FORCIBLE ENTRY,Квартира,false,false,18,
02/16/2021 11:20:00 AM,001XX N LECLAIRE AVE,Драка,SIMPLE,SCHOOL, PUBLIC, СТРОЙКА,false,false,15
05/17/2020 10:00:00 AM,064XX W WABANSIA AVE,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,25
11/19/2020 09:10:00 AM,015XX N WASHTENAW AVE,Кража,$500 AND UNDER,АВТОМОБИЛЬ НЕКОММЕРЧЕСКИЙ,false,false,14
09/19/2020 08:21:00 PM,052XX W LAKE ST,Драка,DOMESTIC BATTERY SIMPLE,Тротуар,false,true,15
04/24/2020 01:17:00 PM,044XX N BROADWAY,SEX OFFENSE,PUBLIC INDECENCY,Другое,true,false,19
04/12/2020 05:00:00 AM,109XX S AVENUE N,Кража,TO VEHICLE,УЛИЦА,false,false,4
03/14/2020 11:00:00 AM,0000X W RANDOLPH ST,Кража,FROM BUILDING,ATHLETIC CLUB,false,false,1
01/30/2021 07:30:00 AM,042XX W 76TH ST,Кража,OVER $500,Гараж,false,false,8
07/11/2020 02:06:00 AM,0000X E GRAND AVE,Нападение,TO LAND,Гараж,true,false,18
01/24/2020 10:10:00 AM,071XX S FAIRFIELD AVE,Кража,TO PROPERTY,Квартира,false,false,8
10/18/2020 03:00:00 PM,002XX E LOWER RANDOLPH ST,Кража,POCKET-PICKING,CTA BUS,false,false,1
06/02/2020 03:34:00 AM,056XX S DR MARTIN LUTHER KING JR DR,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,2
10/08/2020 12:26:00 AM,034XX N CLARK ST,Кража,OVER $500,АВТОМОБИЛЬ НЕКОММЕРЧЕСКИЙ,false,false,19
11/28/2020 11:40:00 AM,016XX W LAKE ST,Кража,POCKET-PICKING,CTA TRAIN,false,false,12
02/20/2020 04:00:00 PM,033XX W BELDEN AVE,УГОН АВТОМОБИЛЯ,THEFT/RECOVERY: AUTOMOBILE,УЛИЦА,false,false,14
11/01/2020 06:30:00 PM,008XX E 63RD ST,Нападение,SIMPLE,УЛИЦА,false,false,3
08/28/2020 09:45:00 PM,047XX W NORTH AVE,Кража,RETAIL THEFT,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,true,false,25
07/07/2020 12:15:00 AM,072XX S DAMEN AVE,Кража,TO VEHICLE,УЛИЦА,false,false,7
03/24/2020 07:30:00 PM,060XX S CALUMET AVE,Драка,SIMPLE,Тротуар,false,false,3
09/08/2020 03:20:00 PM,089XX S BRANDON AVE,Драка,DOMESTIC BATTERY SIMPLE,Тротуар,false,true,4
09/03/2020 11:54:00 AM,102XX S MICHIGAN AVE,НАРКОТИКИ,POSS: CRACK,Гараж,true,false,5
01/30/2020 08:30:00 AM,047XX N SHERIDAN RD,Драка,AGGRAVATED: Другое DANG WEAPON,GOVERNMENT BUILDING/PROPERTY,false,false,19
06/11/2020 05:35:00 PM,075XX S STONY ISLAND AVE,Кража,RETAIL THEFT,ПРОДОВОЛЬСТВЕННЫЙ МАГАЗИН,true,false,4
07/24/2020 09:00:00 PM,071XX S WHIPPLE ST,Кража,TO VEHICLE,РЕЗИДЕНЦИЯ,false,false,8
03/20/2020 09:00:00 PM,047XX W BYRON ST,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,17
08/09/2020 11:30:00 PM,039XX W GLADYS AVE,Ограбление,STRONGARM - NO WEAPON,Тротуар,false,false,11
09/02/2020 03:13:00 AM,021XX S ARCHER AVE,Нападение,AGGRAVATED: HANDGUN,РЕСТОРАН,false,false,9
11/07/2020 08:27:00 PM,019XX S CENTRAL PARK AVE,Драка,DOMESTIC BATTERY SIMPLE,ПЛАТФОРМА,false,true,10
02/07/2020 05:00:00 PM,029XX S DEARBORN ST,Нападение,AGGRAVATED: HANDGUN,Квартира,false,false,1
04/06/2020 07:00:00 AM,040XX N KILDARE AVE,Кража,TO VEHICLE,УЛИЦА,false,false,17
11/05/2020 10:01:00 PM,035XX W CERMAK RD,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,Тротуар,true,false,10
07/06/2020 12:30:00 PM,064XX S JUSTINE ST,Кража,$500 AND UNDER,РЕЗИДЕНЦИЯ,false,false,7
04/30/2020 08:45:00 AM,005XX N BISHOP ST,Кража,$500 AND UNDER,УЛИЦА,false,false,12
08/05/2020 01:00:00 PM,049XX N BROADWAY,Кража,POCKET-PICKING,ПРОДОВОЛЬСТВЕННЫЙ МАГАЗИН,false,false,20
09/11/2020 02:35:00 AM,091XX S COTTAGE GROVE AVE,Ограбление,STRONGARM - NO WEAPON,HOTEL/MOTEL,false,false,6
05/28/2020 02:00:00 PM,024XX W LEXINGTON ST,Кража,TO VEHICLE,УЛИЦА,false,false,11
08/02/2020 02:30:00 PM,015XX E 71ST ST,Нападение,AGGRAVATED: Другое DANG WEAPON,GOVERNMENT BUILDING/PROPERTY,false,false,3
05/17/2020 09:45:00 AM,052XX W WARWICK AVE,Нападение,SIMPLE,РЕЗИДЕНЦИЯ,true,false,16
05/25/2020 11:55:00 AM,015XX E 55TH ST,Кража,RETAIL THEFT,ПРОДОВОЛЬСТВЕННЫЙ МАГАЗИН,true,false,2
10/30/2020 12:00:00 PM,081XX S RACINE AVE,Кража,RETAIL THEFT,НЕБОЛЬШОЙ РОЗНИЧНЫЙ МАГАЗИН,false,false,6
07/10/2020 10:50:00 AM,023XX N AVERS AVE,Кража со взломом,FORCIBLE ENTRY,Квартира,true,false,25
02/27/2020 04:48:00 AM,034XX S HERMITAGE AVE,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY TELEPHONE,РЕЗИДЕНЦИЯ,false,true,9
01/13/2021 02:00:00 PM,017XX N HALSTED ST,Кража со взломом,UNLAWFUL ENTRY,УЛИЦА,true,false,18
08/23/2020 08:55:00 AM,009XX W 76TH ST,Ограбление,ARMED: HANDGUN,Тротуар,false,false,6
05/25/2020 03:00:00 PM,051XX W HARRISON ST,Драка,DOMESTIC BATTERY SIMPLE,Тротуар,true,true,15
10/15/2020 04:30:00 AM,007XX E 133RD ST,Драка,DOMESTIC BATTERY SIMPLE,РЕЗИДЕНЦИЯ,false,true,5
01/08/2021 04:00:00 AM,065XX S FRANCISCO AVE,Кража со взломом,UNLAWFUL ENTRY,РЕЗИДЕНЦИЯ,false,false,8
03/15/2020 09:40:00 AM,096XX S DR MARTIN LUTHER KING JR DR,Ограбление,AGGRAVATED VEHICULAR HIJACKING,УЛИЦА,false,false,5
05/26/2020 11:45:00 AM,021XX E 87TH ST,Драка,SIMPLE,, PUBLIC, СТРОЙКА,false,false,4,
07/05/2020 08:00:00 AM,029XX N NEWCASTLE AVE,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY TELEPHONE,РЕЗИДЕНЦИЯ,false,true,25,
12/26/2020 10:10:00 PM,023XX W WARREN BLVD,Драка,AGGRAVATED DOMESTIC BATTERY: Другое DANG WEAPON,Тротуар,false,true,12,
01/06/2020 05:30:00 AM,0000X S DOOR 3 ST,Кража,$500 AND UNDER,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,true,false,8,
05/25/2020 06:45:00 PM,079XX S GREEN ST,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,6,
08/11/2020 05:30:00 PM,028XX S HOMAN AVE,Кража,OVER $500,РЕЗИДЕНЦИЯ,false,true,10,
01/06/2021 04:45:00 PM,001XX N STATE ST,УГОН АВТОМОБИЛЯ,CREDIT CARD FRAUD,УНИВЕРМАГ,false,false,1,
11/07/2020 06:15:00 PM,007XX N PULASKI RD,Драка,SIMPLE,SCHOOL, PUBLIC, СТРОЙКА,false,false,11
12/25/2020 01:15:00 PM,041XX W CHICAGO AVE,Кража,FROM BUILDING,ЦЕРКОВЬ / СИНАГОГА / МЕСТО ПОКЛОНЕНИЯ,false,false,11
10/29/2020 08:30:00 PM,045XX W MONTROSE AVE,Кража,TO VEHICLE,УЛИЦА,false,false,17
02/11/2021 09:28:00 AM,046XX W JACKSON BLVD,Драка,DOMESTIC BATTERY SIMPLE,Квартира,false,true,11
06/07/2020 07:00:00 PM,081XX S DREXEL AVE,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,УЛИЦА,true,false,6
02/08/2020 11:50:00 AM,033XX W BELMONT AVE,ДРУГОЕ НАРУШЕНИЕ,VIOLATE ORDER OF PROTECTION,УЛИЦА,false,true,17
04/17/2020 10:30:00 PM,064XX S PAULINA ST,Ограбление,ARMED: HANDGUN,УЛИЦА,false,false,7
08/09/2020 12:30:00 PM,001XX W DIVERSEY PKWY,Кража,OVER $500,Гараж,false,false,19
06/08/2020 10:43:00 PM,028XX E 77TH ST,Драка,AGG PO HANDS NO/MIN INJURY,РЕЗИДЕНЦИЯ,false,false,4
05/22/2020 02:00:00 PM,102XX S WALDEN PKWY,Кража,FROM BUILDING,Квартира,false,false,22
06/27/2020 12:00:00 PM,014XX W 72ND PL,Кража,$500 AND UNDER,РЕЗИДЕНЦИЯ PORCH/HALLWAY,false,false,7
12/03/2020 11:53:00 AM,024XX S ALBANY AVE,Драка,SIMPLE,Квартира,false,false,10
11/10/2020 09:30:00 AM,014XX W 18TH ST,УГОН АВТОМОБИЛЯ,FRAUD OR CONFIDENCE GAME,РЕСТОРАН,false,false,12
08/04/2020 09:00:00 PM,089XX S ASHLAND AVE,Драка,SIMPLE,CTA BUS STOP,false,false,22
02/18/2020 07:15:00 PM,013XX W 76TH ST,НАРКОТИКИ,POSS: CANNABIS MORE THAN 30GMS,Гараж,true,false,6
02/05/2021 06:10:00 AM,031XX S HAMLIN AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,10
01/16/2020 01:00:00 PM,007XX N OGDEN AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,Гараж,false,false,12
01/03/2021 09:30:00 PM,011XX N MASSASOIT AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,15
10/10/2020 03:27:00 AM,063XX N KENMORE AVE,Драка,SIMPLE,ALLEY,false,false,24
02/01/2020 09:00:00 AM,028XX W CERMAK RD,УГОН АВТОМОБИЛЯ,FINANCIAL IDENTITY THEFT OVER $ 300,Квартира,false,false,10
02/13/2020 09:40:00 PM,097XX S UNION AVE,Кража,$500 AND UNDER,РЕЗИДЕНЦИЯ,false,true,22
09/06/2020 09:30:00 AM,036XX N ELSTON AVE,Кража,$500 AND UNDER,Гараж,false,false,17
01/04/2021 03:15:00 PM,008XX N KEDZIE AVE,Драка,SIMPLE,ПРОДОВОЛЬСТВЕННЫЙ МАГАЗИН,false,false,11
01/23/2020 08:12:00 PM,071XX S DR MARTIN LUTHER KING JR DR,Кража,FROM BUILDING,БЕНЗОКОЛОНКА,false,false,3
12/14/2020 05:50:00 PM,002XX W GARFIELD BLVD,Кража,PURSE-SNATCHING,ПЛАТФОРМА,false,false,9
09/07/2020 12:20:00 PM,031XX S LITUANICA AVE,Нападение,SIMPLE,ПАРКОВКА / ПЛОЩАДКИ,false,false,9
11/12/2020 07:00:00 PM,073XX N RIDGE BLVD,ДРУГОЕ НАРУШЕНИЕ,HARASSMENT BY ELECTRONIC MEANS,РЕЗИДЕНЦИЯ,false,true,24
10/19/2020 02:02:00 PM,098XX S HALSTED ST,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,УЛИЦА,true,false,22
01/31/2021 03:30:00 PM,077XX S BURNHAM AVE,Нападение,AGG PRO.EMP: Другое DANG WEAPON,, PUBLIC, GROUNDS,true,false,4,
08/03/2020 01:50:00 AM,031XX W LEXINGTON ST,Кража,$500 AND UNDER,Квартира,false,true,11,
01/01/2020 09:00:00 AM,022XX N KOSTNER AVE,УГОН АВТОМОБИЛЯ,AUTOMOBILE,УЛИЦА,false,false,25,
